Fecha,hora,Temperatura Actual (ºC),Temperatura Mínima (ºC),Temperatura Máxima (ºC),Presión (hPa),Humedad (%),Condición del Clima,Descripción
2025-02-08,11:40:07,6.93,6.65,7.38,1020,72,Clouds,muy nuboso
2025-02-08,11:50:07,6.93,6.65,7.38,1020,72,Clouds,nubes
2025-02-08,12:00:04,6.93,6.65,7.38,1020,72,Clouds,nubes
2025-02-08,12:10:07,6.93,6.65,7.38,1020,72,Clouds,nubes
2025-02-08,12:20:07,6.87,6.65,7.38,1020,73,Clear,cielo claro
2025-02-08,12:22:49,6.87,6.65,7.38,1020,73,Clear,cielo claro
2025-02-08,14:20:08,6.45,5.64,7.22,1021,78,Clouds,nubes
2025-02-08,14:30:04,6.84,6.18,7.41,1021,75,Clouds,nubes
2025-02-08,14:40:04,6.64,6.09,7.41,1021,76,Clouds,nubes
2025-02-08,14:50:09,5.99,5.08,6.66,1021,82,Drizzle,llovizna ligera
2025-02-08,15:00:09,5.99,5.08,6.66,1021,82,Drizzle,llovizna ligera
2025-02-08,15:10:08,5.98,5.08,6.38,1021,82,Drizzle,llovizna ligera
2025-02-08,15:20:05,5.98,5.08,6.38,1021,82,Drizzle,llovizna ligera
2025-02-08,15:30:09,5.87,4.72,6.23,1022,84,Clouds,algo de nubes
2025-02-08,15:40:09,5.87,4.72,6.23,1022,84,Clouds,algo de nubes
2025-02-08,15:50:09,5.36,4.72,6.23,1022,87,Clouds,muy nuboso
2025-02-08,16:00:06,5.32,4.72,6.23,1022,88,Clouds,muy nuboso
2025-02-08,16:10:06,5.38,4.72,6.23,1022,88,Clouds,muy nuboso
2025-02-08,16:20:09,5.38,4.72,6.23,1022,88,Clouds,muy nuboso
2025-02-08,16:25:05,5.38,4.72,6.23,1022,88,Clouds,muy nuboso
2025-02-08,16:30:09,5.38,4.72,6.23,1022,88,Clouds,muy nuboso
2025-02-08,16:35:09,5.38,4.72,6.23,1023,88,Clouds,muy nuboso
2025-02-08,16:40:05,5.38,4.72,6.23,1023,88,Clouds,muy nuboso
2025-02-08,16:45:09,5.38,4.72,6.23,1023,90,Clouds,nubes
2025-02-08,16:50:05,5.38,4.72,6.23,1023,90,Clouds,nubes
2025-02-08,16:55:09,5.38,4.72,6.23,1023,90,Clouds,nubes
2025-02-08,17:00:08,5.38,4.72,6.23,1023,90,Clouds,nubes
2025-02-08,17:05:05,5.38,4.72,6.23,1023,90,Clouds,nubes
2025-02-08,17:10:09,5.38,4.72,6.23,1023,90,Clouds,nubes
2025-02-08,17:15:09,5.38,4.72,6.23,1023,90,Clouds,nubes
2025-02-08,17:20:09,5.38,4.72,6.23,1023,90,Clouds,nubes
2025-02-08,17:25:09,5.4,4.72,6.38,1023,90,Drizzle,lluvia y llovizna ligera
2025-02-08,17:30:05,5.4,4.72,6.38,1023,90,Drizzle,lluvia y llovizna ligera
2025-02-08,17:35:09,5.37,4.72,6.38,1023,90,Drizzle,lluvia y llovizna ligera
2025-02-08,17:40:09,5.37,4.72,6.38,1023,90,Drizzle,lluvia y llovizna ligera
2025-02-08,17:45:05,5.37,4.72,6.38,1023,90,Drizzle,lluvia y llovizna ligera
2025-02-08,17:50:08,5.34,4.42,6.38,1023,89,Rain,lluvia ligera
2025-02-08,17:55:04,5.34,4.42,6.38,1023,89,Rain,lluvia ligera
2025-02-08,18:00:04,5.34,4.42,6.38,1023,89,Rain,lluvia ligera
2025-02-08,18:05:04,5.34,4.42,6.38,1023,90,Rain,lluvia ligera
2025-02-08,18:10:03,5.34,4.42,6.38,1023,90,Rain,lluvia ligera
2025-02-08,18:15:02,5.14,4.42,6.38,1023,90,Rain,lluvia ligera
2025-02-08,18:20:01,5.04,3.87,6.38,1023,90,Drizzle,llovizna ligera
2025-02-08,18:25:02,4.98,3.87,6.38,1023,90,Drizzle,llovizna ligera
2025-02-08,18:30:02,4.98,3.87,6.38,1023,90,Drizzle,llovizna ligera
2025-02-08,18:35:02,4.98,3.87,6.38,1023,90,Drizzle,llovizna ligera
2025-02-08,18:40:01,4.98,3.87,6.38,1023,91,Drizzle,llovizna ligera
2025-02-08,18:45:02,4.63,3.49,6.38,1023,93,Rain,lluvia ligera
2025-02-08,18:50:02,4.95,3.83,6.3,1023,90,Rain,lluvia ligera
2025-02-08,18:55:01,4.95,3.83,6.3,1023,90,Rain,lluvia ligera
2025-02-08,19:00:02,4.95,3.83,6.3,1023,90,Rain,lluvia ligera
2025-02-08,19:05:02,4.6,3.83,5.63,1023,93,Rain,lluvia ligera
2025-02-08,19:10:02,4.6,3.83,5.63,1023,93,Rain,lluvia ligera
2025-02-08,19:15:02,4.82,3.83,5.75,1023,90,Rain,lluvia ligera
2025-02-08,19:20:02,4.29,3.83,5.63,1023,94,Rain,lluvia ligera
2025-02-08,19:25:02,4.29,3.83,5.63,1023,94,Rain,lluvia ligera
2025-02-08,19:30:02,4.29,3.83,5.63,1023,94,Rain,lluvia ligera
2025-02-08,19:35:02,4.57,3.83,5.75,1023,91,Rain,lluvia ligera
2025-02-08,19:40:02,4.57,3.83,5.75,1023,91,Rain,lluvia ligera
2025-02-08,19:45:02,4.25,3.72,5.63,1023,93,Rain,lluvia ligera
2025-02-08,19:50:02,4.25,3.72,5.63,1023,93,Rain,lluvia ligera
2025-02-08,19:55:01,4.25,3.72,5.08,1023,93,Rain,lluvia ligera
2025-02-08,20:00:03,4.25,3.72,5.08,1023,93,Rain,lluvia ligera
2025-02-08,20:05:01,4.25,3.72,5.08,1023,93,Rain,lluvia ligera
2025-02-08,20:10:02,4.25,3.72,5.08,1023,93,Rain,lluvia ligera
2025-02-08,20:15:02,4.25,3.72,5.08,1023,93,Rain,lluvia ligera
2025-02-08,20:20:02,4.25,3.72,5.08,1023,93,Rain,lluvia ligera
2025-02-08,20:25:01,4.38,3.72,5.19,1023,91,Rain,lluvia ligera
2025-02-08,20:30:02,4.38,3.72,5.19,1023,91,Rain,lluvia ligera
2025-02-08,20:35:02,4.38,3.72,5.19,1023,91,Rain,lluvia ligera
2025-02-08,20:40:02,4.38,3.72,5.19,1023,91,Rain,lluvia ligera
2025-02-08,20:45:02,4.08,3.83,5.07,1023,96,Rain,lluvia ligera
2025-02-08,20:50:02,4.08,3.83,5.07,1023,96,Rain,lluvia ligera
2025-02-08,20:55:01,4.08,3.83,5.07,1023,96,Rain,lluvia ligera
2025-02-08,21:00:03,4.08,3.83,5.07,1023,96,Rain,lluvia ligera
2025-02-08,21:05:02,4.08,3.83,5.07,1023,96,Rain,lluvia ligera
2025-02-08,21:10:02,4.08,3.83,5.07,1023,96,Rain,lluvia ligera
2025-02-08,21:15:02,4.08,3.83,5.07,1023,96,Rain,lluvia ligera
2025-02-08,21:20:02,4.08,3.83,5.07,1023,96,Rain,lluvia ligera
2025-02-08,21:25:02,4.08,3.83,5.07,1023,97,Rain,lluvia ligera
2025-02-08,21:30:02,4.08,3.83,5.07,1023,97,Rain,lluvia ligera
2025-02-08,21:35:02,4.08,3.83,5.07,1023,97,Rain,lluvia ligera
2025-02-08,21:40:02,4.08,3.83,5.07,1023,97,Rain,lluvia ligera
2025-02-08,21:45:02,4.05,3.72,5.07,1024,97,Rain,lluvia ligera
